| Agent    0 | Location(x,y) = (  41,  67) in Environment -   DerivENV | High-Level-State 0
| Agent    4 | Location (x,y) = ( 310,  75) in Environment -   DerivENV | High-Level-State 0
| Agent    3 | Location (x,y) = ( 200,  86) in Environment -   DerivENV | High-Level-State 0
| Agent    2 | Location (x,y) = (  86,  64) in Environment -   DerivENV | High-Level-State 0
| Agent    1 | Location (x,y) = ( 156,  23) in Environment -   DerivENV | High-Level-State 0
| Agent    0 | Location (x,y) = ( 166,  95) in Environment -   DerivENV | High-Level-State 0
	Tally: { S = 96 , I = 54 , R = 0 | Time 4

| Agent  149 | Location (x,y) = ( 367,  66) in Environment -   DerivENV | High-Level-State 1
| Agent  148 | Location (x,y) = ( 162,  42) in Environment -   DerivENV | High-Level-State 1
| Agent  147 | Location (x,y) = ( 246,  91) in Environment -   DerivENV | High-Level-State 1
| Agent  146 | Location (x,y) = ( 197,  43) in Environment -   DerivENV | High-Level-State 1
| Agent  145 | Location (x,y) = ( 144,  17) in Environment -   DerivENV | High-Level-State 1
| Agent  144 | Location (x,y) = ( 203,  82) in Environment -   DerivENV | High-Level-State 1
| Agent  143 | Location (x,y) = ( 199,   7) in Environment -   DerivENV | High-Level-State 1
| Agent  142 | Location (x,y) = ( 375,  79) in Environment -   DerivENV | High-Level-State 1
| Agent  141 | Location (x,y) = ( 297,  68) in Environment -   DerivENV | High-Level-State 1
| Agent  140 | Location (x,y) = ( 359,  77) in Environment -   DerivENV | High-Level-State 1
| Agent  139 | Location (x,y) = ( 275,  93) in Environment -   DerivENV | High-Level-State 1
| Agent  138 | Location (x,y) = ( 362,   2) in Environment -   DerivENV | High-Level-State 1
| Agent  137 | Location (x,y) = ( 389,  86) in Environment -   DerivENV | High-Level-State 1
| Agent  136 | Location (x,y) = ( 102,   6) in Environment -   DerivENV | High-Level-State 1
| Agent  135 | Location (x,y) = (  11,  54) in Environment -   DerivENV | High-Level-State 1
| Agent  134 | Location (x,y) = (  74,  18) in Environment -   DerivENV | High-Level-State 1
| Agent  133 | Location (x,y) = ( 145,  28) in Environment -   DerivENV | High-Level-State 1
| Agent  132 | Location (x,y) = ( 242,  41) in Environment -   DerivENV | High-Level-State 1
| Agent  131 | Location (x,y) = ( 375,  15) in Environment -   DerivENV | High-Level-State 1
| Agent  130 | Location (x,y) = ( 244,  90) in Environment -   DerivENV | High-Level-State 1
| Agent  129 | Location (x,y) = ( 163,  74) in Environment -   DerivENV | High-Level-State 1
| Agent  128 | Location (x,y) = (  32,  52) in Environment -   DerivENV | High-Level-State 1
| Agent  127 | Location (x,y) = ( 268,  19) in Environment -   DerivENV | High-Level-State 1
| Agent  126 | Location (x,y) = ( 328,  67) in Environment -   DerivENV | High-Level-State 1
| Agent  125 | Location (x,y) = ( 153,   4) in Environment -   DerivENV | High-Level-State 1
| Agent  124 | Location (x,y) = ( 339,  77) in Environment -   DerivENV | High-Level-State 1
| Agent  123 | Location (x,y) = (  88,  87) in Environment -   DerivENV | High-Level-State 1
| Agent  122 | Location (x,y) = ( 385,  61) in Environment -   DerivENV | High-Level-State 1
| Agent  121 | Location (x,y) = ( 105,  49) in Environment -   DerivENV | High-Level-State 1
| Agent  120 | Location (x,y) = (  96,  63) in Environment -   DerivENV | High-Level-State 1
| Agent  119 | Location (x,y) = ( 298,  57) in Environment -   DerivENV | High-Level-State 1
| Agent  118 | Location (x,y) = ( 183,  84) in Environment -   DerivENV | High-Level-State 1
| Agent  117 | Location (x,y) = ( 325,  85) in Environment -   DerivENV | High-Level-State 1
| Agent  116 | Location (x,y) = ( 377,  77) in Environment -   DerivENV | High-Level-State 1
| Agent  115 | Location (x,y) = ( 134,  39) in Environment -   DerivENV | High-Level-State 1
| Agent  114 | Location (x,y) = ( 230,  26) in Environment -   DerivENV | High-Level-State 1
| Agent  113 | Location (x,y) = ( 139,  16) in Environment -   DerivENV | High-Level-State 1
| Agent  112 | Location (x,y) = (  22,  66) in Environment -   DerivENV | High-Level-State 1
| Agent  111 | Location (x,y) = ( 343,  20) in Environment -   DerivENV | High-Level-State 1
| Agent  110 | Location (x,y) = ( 283,  38) in Environment -   DerivENV | High-Level-State 1
| Agent  109 | Location (x,y) = ( 117,  40) in Environment -   DerivENV | High-Level-State 1
| Agent  108 | Location (x,y) = ( 194,  10) in Environment -   DerivENV | High-Level-State 1
| Agent  107 | Location (x,y) = ( 100,  41) in Environment -   DerivENV | High-Level-State 1
| Agent  106 | Location (x,y) = ( 300,  88) in Environment -   DerivENV | High-Level-State 1
| Agent  105 | Location (x,y) = ( 366,  66) in Environment -   DerivENV | High-Level-State 1
| Agent  104 | Location (x,y) = (  69,  87) in Environment -   DerivENV | High-Level-State 1
| Agent  103 | Location (x,y) = (  76,  40) in Environment -   DerivENV | High-Level-State 1
| Agent  102 | Location (x,y) = (  81,  43) in Environment -   DerivENV | High-Level-State 1
| Agent  101 | Location (x,y) = ( 264,  84) in Environment -   DerivENV | High-Level-State 1
| Agent  100 | Location (x,y) = (  23,  45) in Environment -   DerivENV | High-Level-State 1
| Agent   99 | Location (x,y) = ( 235,  48) in Environment -   DerivENV | High-Level-State 0
| Agent   98 | Location (x,y) = ( 290,  14) in Environment -   DerivENV | High-Level-State 0
| Agent   97 | Location (x,y) = ( 212,  54) in Environment -   DerivENV | High-Level-State 0
| Agent   96 | Location (x,y) = ( 112,  24) in Environment -   DerivENV | High-Level-State 0
| Agent   95 | Location (x,y) = ( 246,  54) in Environment -   DerivENV | High-Level-State 0
| Agent   94 | Location (x,y) = ( 117,  69) in Environment -   DerivENV | High-Level-State 0
| Agent   93 | Location (x,y) = ( 330,  52) in Environment -   DerivENV | High-Level-State 0
| Agent   92 | Location (x,y) = ( 262,  54) in Environment -   DerivENV | High-Level-State 0
| Agent   91 | Location (x,y) = ( 242,  11) in Environment -   DerivENV | High-Level-State 0
| Agent   90 | Location (x,y) = ( 148,  68) in Environment -   DerivENV | High-Level-State 0
| Agent   89 | Location (x,y) = ( 217,  71) in Environment -   DerivENV | High-Level-State 0
| Agent   88 | Location (x,y) = ( 323,  93) in Environment -   DerivENV | High-Level-State 0
| Agent   87 | Location (x,y) = ( 337,  48) in Environment -   DerivENV | High-Level-State 0
| Agent   86 | Location (x,y) = ( 367,  98) in Environment -   DerivENV | High-Level-State 0
| Agent   85 | Location (x,y) = ( 238,  83) in Environment -   DerivENV | High-Level-State 0
| Agent   84 | Location (x,y) = ( 148,  30) in Environment -   DerivENV | High-Level-State 0
| Agent   83 | Location (x,y) = ( 254,  89) in Environment -   DerivENV | High-Level-State 0
| Agent   82 | Location (x,y) = ( 217,  18) in Environment -   DerivENV | High-Level-State 0
| Agent   81 | Location (x,y) = (  52,  19) in Environment -   DerivENV | High-Level-State 0
| Agent   80 | Location (x,y) = ( 138,  85) in Environment -   DerivENV | High-Level-State 0
| Agent   79 | Location (x,y) = ( 112,  67) in Environment -   DerivENV | High-Level-State 0
| Agent   78 | Location (x,y) = (  78,  29) in Environment -   DerivENV | High-Level-State 0
| Agent   77 | Location (x,y) = (  73,   4) in Environment -   DerivENV | High-Level-State 0
| Agent   76 | Location (x,y) = ( 345,  41) in Environment -   DerivENV | High-Level-State 0
| Agent   75 | Location (x,y) = (  29,  19) in Environment -   DerivENV | High-Level-State 0
| Agent   74 | Location (x,y) = ( 314,  84) in Environment -   DerivENV | High-Level-State 0
| Agent   73 | Location (x,y) = (  73,  97) in Environment -   DerivENV | High-Level-State 0
| Agent   72 | Location (x,y) = (  55,  23) in Environment -   DerivENV | High-Level-State 0
| Agent   71 | Location (x,y) = ( 277,  83) in Environment -   DerivENV | High-Level-State 0
| Agent   70 | Location (x,y) = ( 130,  89) in Environment -   DerivENV | High-Level-State 0
| Agent   69 | Location (x,y) = ( 183,   8) in Environment -   DerivENV | High-Level-State 0
| Agent   68 | Location (x,y) = ( 239,  60) in Environment -   DerivENV | High-Level-State 0
| Agent   67 | Location (x,y) = ( 154,  50) in Environment -   DerivENV | High-Level-State 0
| Agent   66 | Location (x,y) = ( 163,  90) in Environment -   DerivENV | High-Level-State 0
| Agent   65 | Location (x,y) = ( 393,  78) in Environment -   DerivENV | High-Level-State 0
| Agent   64 | Location (x,y) = (  30,  51) in Environment -   DerivENV | High-Level-State 1
| Agent   63 | Location (x,y) = ( 351,  11) in Environment -   DerivENV | High-Level-State 0
| Agent   62 | Location (x,y) = ( 327,  29) in Environment -   DerivENV | High-Level-State 0
| Agent   61 | Location (x,y) = ( 260,  90) in Environment -   DerivENV | High-Level-State 0
| Agent   60 | Location (x,y) = ( 284,  83) in Environment -   DerivENV | High-Level-State 0
| Agent   59 | Location (x,y) = ( 268,  70) in Environment -   DerivENV | High-Level-State 0
| Agent   58 | Location (x,y) = ( 359,  76) in Environment -   DerivENV | High-Level-State 0
| Agent   57 | Location (x,y) = (  62,  16) in Environment -   DerivENV | High-Level-State 0
| Agent   56 | Location (x,y) = ( 171,  83) in Environment -   DerivENV | High-Level-State 0
| Agent   55 | Location (x,y) = ( 180,  84) in Environment -   DerivENV | High-Level-State 0
| Agent   54 | Location (x,y) = (  34,  85) in Environment -   DerivENV | High-Level-State 0
| Agent   53 | Location (x,y) = ( 371,  77) in Environment -   DerivENV | High-Level-State 0
| Agent   52 | Location (x,y) = ( 121,  61) in Environment -   DerivENV | High-Level-State 0
| Agent   51 | Location (x,y) = ( 262,  11) in Environment -   DerivENV | High-Level-State 0
| Agent   50 | Location (x,y) = ( 359,  39) in Environment -   DerivENV | High-Level-State 0
| Agent   49 | Location (x,y) = (  51,  16) in Environment -   DerivENV | High-Level-State 0
| Agent   48 | Location (x,y) = ( 235,  39) in Environment -   DerivENV | High-Level-State 0
| Agent   47 | Location (x,y) = ( 107,  67) in Environment -   DerivENV | High-Level-State 0
| Agent   46 | Location (x,y) = ( 391,  26) in Environment -   DerivENV | High-Level-State 0
| Agent   45 | Location (x,y) = ( 140,  51) in Environment -   DerivENV | High-Level-State 0
| Agent   44 | Location (x,y) = ( 293,  31) in Environment -   DerivENV | High-Level-State 0
| Agent   43 | Location (x,y) = ( 184,  55) in Environment -   DerivENV | High-Level-State 0
| Agent   42 | Location (x,y) = (  30,  70) in Environment -   DerivENV | High-Level-State 1
| Agent   41 | Location (x,y) = ( 349,   0) in Environment -   DerivENV | High-Level-State 0
| Agent   40 | Location (x,y) = (  96,  38) in Environment -   DerivENV | High-Level-State 0
| Agent   39 | Location (x,y) = ( 209,  64) in Environment -   DerivENV | High-Level-State 0
| Agent   38 | Location (x,y) = ( 164,  79) in Environment -   DerivENV | High-Level-State 0
| Agent   37 | Location (x,y) = ( 343,   1) in Environment -   DerivENV | High-Level-State 0
| Agent   36 | Location (x,y) = (  74,  36) in Environment -   DerivENV | High-Level-State 0
| Agent   35 | Location (x,y) = ( 141,  50) in Environment -   DerivENV | High-Level-State 0
| Agent   34 | Location (x,y) = ( 119,  89) in Environment -   DerivENV | High-Level-State 0
| Agent   33 | Location (x,y) = ( 310,  17) in Environment -   DerivENV | High-Level-State 0
| Agent   32 | Location (x,y) = ( 191,  72) in Environment -   DerivENV | High-Level-State 0
| Agent   31 | Location (x,y) = ( 156,  86) in Environment -   DerivENV | High-Level-State 0
| Agent   30 | Location (x,y) = ( 340,  89) in Environment -   DerivENV | High-Level-State 0
| Agent   29 | Location (x,y) = ( 145,  46) in Environment -   DerivENV | High-Level-State 0
| Agent   28 | Location (x,y) = (   6,  42) in Environment -   DerivENV | High-Level-State 0
| Agent   27 | Location (x,y) = ( 250,  17) in Environment -   DerivENV | High-Level-State 0
| Agent   26 | Location (x,y) = ( 323,   7) in Environment -   DerivENV | High-Level-State 0
| Agent   25 | Location (x,y) = ( 161,  40) in Environment -   DerivENV | High-Level-State 0
| Agent   24 | Location (x,y) = ( 385,  39) in Environment -   DerivENV | High-Level-State 0
| Agent   23 | Location (x,y) = ( 349,  71) in Environment -   DerivENV | High-Level-State 0
| Agent   22 | Location (x,y) = ( 397,  66) in Environment -   DerivENV | High-Level-State 0
| Agent   21 | Location (x,y) = (  47,  15) in Environment -   DerivENV | High-Level-State 1
| Agent   20 | Location (x,y) = ( 319,  16) in Environment -   DerivENV | High-Level-State 0
| Agent   19 | Location (x,y) = ( 149,  93) in Environment -   DerivENV | High-Level-State 0
| Agent   18 | Location (x,y) = ( 168,  80) in Environment -   DerivENV | High-Level-State 0
| Agent   17 | Location (x,y) = ( 112,   4) in Environment -   DerivENV | High-Level-State 0
| Agent   16 | Location (x,y) = ( 149,  35) in Environment -   DerivENV | High-Level-State 0
| Agent   15 | Location (x,y) = (  76,  32) in Environment -   DerivENV | High-Level-State 1
| Agent   14 | Location (x,y) = ( 161,  50) in Environment -   DerivENV | High-Level-State 0
| Agent   13 | Location (x,y) = (  71,  44) in Environment -   DerivENV | High-Level-State 0
| Agent   12 | Location (x,y) = (  92,  45) in Environment -   DerivENV | High-Level-State 0
| Agent   11 | Location (x,y) = ( 188,  43) in Environment -   DerivENV | High-Level-State 0
| Agent   10 | Location (x,y) = ( 286,  71) in Environment -   DerivENV | High-Level-State 0
| Agent    9 | Location (x,y) = ( 399,  24) in Environment -   DerivENV | High-Level-State 0
| Agent    8 | Location (x,y) = ( 203,  19) in Environment -   DerivENV | High-Level-State 0
| Agent    7 | Location (x,y) = ( 315,  54) in Environment -   DerivENV | High-Level-State 0
| Agent    6 | Location (x,y) = (  64,  40) in Environment -   DerivENV | High-Level-State 0
| Agent    5 | Location (x,y) = (   1,  35) in Environment -   DerivENV | High-Level-State 0
| Agent    4 | Location (x,y) = ( 137,  18) in Environment -   DerivENV | High-Level-State 0
| Agent    3 | Location (x,y) = ( 204,  85) in Environment -   DerivENV | High-Level-State 0
| Agent    2 | Location (x,y) = ( 160,  59) in Environment -   DerivENV | High-Level-State 0
| Agent    1 | Location (x,y) = ( 262,  81) in Environment -   DerivENV | High-Level-State 0
| Agent    0 | Location (x,y) = ( 155,  53) in Environment -   DerivENV | High-Level-State 0
	Tally: { S = 96 , I = 54 , R = 0 | Time 5

| Agent  149 | Location (x,y) = ( 349,  35) in Environment -   DerivENV | High-Level-State 1
| Agent  148 | Location (x,y) = (  98,  20) in Environment -   DerivENV | High-Level-State 1
| Agent  147 | Location (x,y) = ( 185,  29) in Environment -   DerivENV | High-Level-State 1
| Agent  146 | Location (x,y) = ( 118,  69) in Environment -   DerivENV | High-Level-State 1
| Agent  145 | Location (x,y) = (   7,  94) in Environment -   DerivENV | High-Level-State 1
| Agent  144 | Location (x,y) = ( 178,   6) in Environment -   DerivENV | High-Level-State 1
| Agent  143 | Location (x,y) = ( 180,   7) in Environment -   DerivENV | High-Level-State 1
| Agent  142 | Location (x,y) = ( 336,  41) in Environment -   DerivENV | High-Level-State 1
| Agent  141 | Location (x,y) = ( 299,  16) in Environment -   DerivENV | High-Level-State 1
| Agent  140 | Location (x,y) = ( 254,  61) in Environment -   DerivENV | High-Level-State 1
| Agent  139 | Location (x,y) = ( 291,  30) in Environment -   DerivENV | High-Level-State 1
| Agent  138 | Location (x,y) = ( 269,  95) in Environment -   DerivENV | High-Level-State 1
| Agent  137 | Location (x,y) = (  73,  30) in Environment -   DerivENV | High-Level-State 1
| Agent  136 | Location (x,y) = ( 361,  27) in Environment -   DerivENV | High-Level-State 1
| Agent  135 | Location (x,y) = ( 269,  97) in Environment -   DerivENV | High-Level-State 1
| Agent  134 | Location (x,y) = ( 142,  95) in Environment -   DerivENV | High-Level-State 1
| Agent  133 | Location (x,y) = ( 264,  85) in Environment -   DerivENV | High-Level-State 1
| Agent  132 | Location (x,y) = (  83,  32) in Environment -   DerivENV | High-Level-State 1
| Agent  131 | Location (x,y) = (  39,  38) in Environment -   DerivENV | High-Level-State 1
| Agent  130 | Location (x,y) = ( 359,  62) in Environment -   DerivENV | High-Level-State 1
| Agent  129 | Location (x,y) = (  92,  15) in Environment -   DerivENV | High-Level-State 1
| Agent  128 | Location (x,y) = ( 347,  67) in Environment -   DerivENV | High-Level-State 1
| Agent  127 | Location (x,y) = (   4,  76) in Environment -   DerivENV | High-Level-State 1
| Agent  126 | Location (x,y) = (  87,  67) in Environment -   DerivENV | High-Level-State 1
| Agent  125 | Location (x,y) = (   5,  97) in Environment -   DerivENV | High-Level-State 1
| Agent  124 | Location (x,y) = ( 180,   6) in Environment -   DerivENV | High-Level-State 1
| Agent  123 | Location (x,y) = ( 136,  14) in Environment -   DerivENV | High-Level-State 1
| Agent  122 | Location (x,y) = ( 183,  85) in Environment -   DerivENV | High-Level-State 1
| Agent  121 | Location (x,y) = (  29,  23) in Environment -   DerivENV | High-Level-State 1
| Agent  120 | Location (x,y) = ( 229,  48) in Environment -   DerivENV | High-Level-State 1
| Agent  119 | Location (x,y) = ( 136,  27) in Environment -   DerivENV | High-Level-State 1
| Agent  118 | Location (x,y) = ( 245,  13) in Environment -   DerivENV | High-Level-State 1
| Agent  117 | Location (x,y) = ( 209,  94) in Environment -   DerivENV | High-Level-State 1
| Agent  116 | Location (x,y) = (  55,   0) in Environment -   DerivENV | High-Level-State 1
| Agent  115 | Location (x,y) = (  19,  39) in Environment -   DerivENV | High-Level-State 1
| Agent  114 | Location (x,y) = (  54,  19) in Environment -   DerivENV | High-Level-State 1
| Agent  113 | Location (x,y) = (  44,  28) in Environment -   DerivENV | High-Level-State 1
| Agent  112 | Location (x,y) = ( 187,  33) in Environment -   DerivENV | High-Level-State 1
| Agent  111 | Location (x,y) = ( 150,  97) in Environment -   DerivENV | High-Level-State 1
| Agent  110 | Location (x,y) = (  67,  42) in Environment -   DerivENV | High-Level-State 1
| Agent  109 | Location (x,y) = ( 107,  74) in Environment -   DerivENV | High-Level-State 1
| Agent  108 | Location (x,y) = ( 285,  31) in Environment -   DerivENV | High-Level-State 1
| Agent  107 | Location (x,y) = ( 185,  75) in Environment -   DerivENV | High-Level-State 1
| Agent  106 | Location (x,y) = ( 290,  30) in Environment -   DerivENV | High-Level-State 1
| Agent  105 | Location (x,y) = ( 364,  52) in Environment -   DerivENV | High-Level-State 1
| Agent  104 | Location (x,y) = (  87,   8) in Environment -   DerivENV | High-Level-State 1
| Agent  103 | Location (x,y) = ( 100,  37) in Environment -   DerivENV | High-Level-State 1
| Agent  102 | Location (x,y) = ( 257,  97) in Environment -   DerivENV | High-Level-State 1
| Agent  101 | Location (x,y) = ( 333,  92) in Environment -   DerivENV | High-Level-State 1
| Agent  100 | Location (x,y) = ( 150,  38) in Environment -   DerivENV | High-Level-State 1
| Agent   99 | Location (x,y) = ( 303,  14) in Environment -   DerivENV | High-Level-State 0
| Agent   98 | Location (x,y) = ( 192,  52) in Environment -   DerivENV | High-Level-State 0
| Agent   97 | Location (x,y) = (  12,  73) in Environment -   DerivENV | High-Level-State 0
| Agent   96 | Location (x,y) = (  30,  14) in Environment -   DerivENV | High-Level-State 0
| Agent   95 | Location (x,y) = (  30,  93) in Environment -   DerivENV | High-Level-State 0
| Agent   94 | Location (x,y) = ( 273,  77) in Environment -   DerivENV | High-Level-State 0
| Agent   93 | Location (x,y) = ( 162,  30) in Environment -   DerivENV | High-Level-State 0
| Agent   92 | Location (x,y) = ( 276,  41) in Environment -   DerivENV | High-Level-State 0
| Agent   91 | Location (x,y) = ( 281,  85) in Environment -   DerivENV | High-Level-State 0
| Agent   90 | Location (x,y) = ( 368,  95) in Environment -   DerivENV | High-Level-State 0
| Agent   89 | Location (x,y) = ( 371,  59) in Environment -   DerivENV | High-Level-State 0
| Agent   88 | Location (x,y) = ( 164,  91) in Environment -   DerivENV | High-Level-State 0
| Agent   87 | Location (x,y) = ( 379,  50) in Environment -   DerivENV | High-Level-State 0
| Agent   86 | Location (x,y) = ( 288,   2) in Environment -   DerivENV | High-Level-State 0
| Agent   85 | Location (x,y) = ( 184,  39) in Environment -   DerivENV | High-Level-State 0
| Agent   84 | Location (x,y) = ( 257,  63) in Environment -   DerivENV | High-Level-State 1
| Agent   83 | Location (x,y) = ( 362,  50) in Environment -   DerivENV | High-Level-State 0
| Agent   82 | Location (x,y) = ( 350,   4) in Environment -   DerivENV | High-Level-State 0
| Agent   81 | Location (x,y) = (  56,   4) in Environment -   DerivENV | High-Level-State 0
| Agent   80 | Location (x,y) = ( 280,  27) in Environment -   DerivENV | High-Level-State 0
| Agent   79 | Location (x,y) = ( 172,  28) in Environment -   DerivENV | High-Level-State 0
| Agent   78 | Location (x,y) = (  98,  72) in Environment -   DerivENV | High-Level-State 0
| Agent   77 | Location (x,y) = (  51,  91) in Environment -   DerivENV | High-Level-State 0
| Agent   76 | Location (x,y) = (  58,   4) in Environment -   DerivENV | High-Level-State 0
| Agent   75 | Location (x,y) = ( 220,  53) in Environment -   DerivENV | High-Level-State 0
| Agent   74 | Location (x,y) = ( 329,  40) in Environment -   DerivENV | High-Level-State 0
| Agent   73 | Location (x,y) = ( 234,   9) in Environment -   DerivENV | High-Level-State 0
| Agent   72 | Location (x,y) = (  66,  82) in Environment -   DerivENV | High-Level-State 0
| Agent   71 | Location (x,y) = ( 128,  21) in Environment -   DerivENV | High-Level-State 0
| Agent   70 | Location (x,y) = ( 300,  13) in Environment -   DerivENV | High-Level-State 0
| Agent   69 | Location (x,y) = (  90,  15) in Environment -   DerivENV | High-Level-State 0
| Agent   68 | Location (x,y) = ( 223,  11) in Environment -   DerivENV | High-Level-State 0
| Agent   67 | Location (x,y) = (  55,  39) in Environment -   DerivENV | High-Level-State 0
| Agent   66 | Location (x,y) = ( 321,  31) in Environment -   DerivENV | High-Level-State 0
| Agent   65 | Location (x,y) = ( 183,  91) in Environment -   DerivENV | High-Level-State 0
| Agent   64 | Location (x,y) = (  42,   6) in Environment -   DerivENV | High-Level-State 1
| Agent   63 | Location (x,y) = ( 211,   4) in Environment -   DerivENV | High-Level-State 0
| Agent   62 | Location (x,y) = ( 399,  31) in Environment -   DerivENV | High-Level-State 0
| Agent   61 | Location (x,y) = ( 136,  33) in Environment -   DerivENV | High-Level-State 0
| Agent   60 | Location (x,y) = (  57,  49) in Environment -   DerivENV | High-Level-State 0
| Agent   59 | Location (x,y) = ( 319,  45) in Environment -   DerivENV | High-Level-State 0
| Agent   58 | Location (x,y) = ( 287,   8) in Environment -   DerivENV | High-Level-State 0
| Agent   57 | Location (x,y) = (  23,  85) in Environment -   DerivENV | High-Level-State 0
| Agent   56 | Location (x,y) = ( 274,  12) in Environment -   DerivENV | High-Level-State 0
| Agent   55 | Location (x,y) = (  87,  76) in Environment -   DerivENV | High-Level-State 0
| Agent   54 | Location (x,y) = (  85,  38) in Environment -   DerivENV | High-Level-State 0
| Agent   53 | Location (x,y) = ( 363,  47) in Environment -   DerivENV | High-Level-State 0
| Agent   52 | Location (x,y) = (  40,  33) in Environment -   DerivENV | High-Level-State 0
| Agent   51 | Location (x,y) = (  69,   5) in Environment -   DerivENV | High-Level-State 0
| Agent   50 | Location (x,y) = ( 264,  79) in Environment -   DerivENV | High-Level-State 0
| Agent   49 | Location (x,y) = (  34,  78) in Environment -   DerivENV | High-Level-State 1
| Agent   48 | Location (x,y) = (  44,  46) in Environment -   DerivENV | High-Level-State 0
| Agent   47 | Location (x,y) = ( 145,  27) in Environment -   DerivENV | High-Level-State 0
| Agent   46 | Location (x,y) = ( 262,  97) in Environment -   DerivENV | High-Level-State 0
| Agent   45 | Location (x,y) = ( 394,  98) in Environment -   DerivENV | High-Level-State 0
| Agent   44 | Location (x,y) = ( 207,  54) in Environment -   DerivENV | High-Level-State 0
| Agent   43 | Location (x,y) = ( 213,  44) in Environment -   DerivENV | High-Level-State 0
| Agent   42 | Location (x,y) = ( 396,  57) in Environment -   DerivENV | High-Level-State 1
| Agent   41 | Location (x,y) = ( 105,  32) in Environment -   DerivENV | High-Level-State 0
| Agent   40 | Location (x,y) = ( 366,  77) in Environment -   DerivENV | High-Level-State 0
| Agent   39 | Location (x,y) = (  75,  86) in Environment -   DerivENV | High-Level-State 0
| Agent   38 | Location (x,y) = ( 247,  39) in Environment -   DerivENV | High-Level-State 0
| Agent   37 | Location (x,y) = ( 296,   6) in Environment -   DerivENV | High-Level-State 0
| Agent   36 | Location (x,y) = ( 365,  95) in Environment -   DerivENV | High-Level-State 0
| Agent   35 | Location (x,y) = ( 327,  37) in Environment -   DerivENV | High-Level-State 0
| Agent   34 | Location (x,y) = ( 348,  31) in Environment -   DerivENV | High-Level-State 0
| Agent   33 | Location (x,y) = ( 227,  62) in Environment -   DerivENV | High-Level-State 0
| Agent   32 | Location (x,y) = ( 147,  60) in Environment -   DerivENV | High-Level-State 0
| Agent   31 | Location (x,y) = (   8,  40) in Environment -   DerivENV | High-Level-State 0
| Agent   30 | Location (x,y) = (   6,  22) in Environment -   DerivENV | High-Level-State 0
| Agent   29 | Location (x,y) = ( 305,  65) in Environment -   DerivENV | High-Level-State 0
| Agent   28 | Location (x,y) = (  37,  80) in Environment -   DerivENV | High-Level-State 0
| Agent   27 | Location (x,y) = ( 317,  93) in Environment -   DerivENV | High-Level-State 0
| Agent   26 | Location (x,y) = ( 221,  21) in Environment -   DerivENV | High-Level-State 0
| Agent   25 | Location (x,y) = (  81,  93) in Environment -   DerivENV | High-Level-State 1
| Agent   24 | Location (x,y) = ( 392,   8) in Environment -   DerivENV | High-Level-State 0
| Agent   23 | Location (x,y) = ( 165,  93) in Environment -   DerivENV | High-Level-State 0
| Agent   22 | Location (x,y) = ( 239,  73) in Environment -   DerivENV | High-Level-State 0
| Agent   21 | Location (x,y) = ( 310,  75) in Environment -   DerivENV | High-Level-State 1
| Agent   20 | Location (x,y) = (  66,   9) in Environment -   DerivENV | High-Level-State 0
| Agent   19 | Location (x,y) = ( 379,  10) in Environment -   DerivENV | High-Level-State 0
| Agent   18 | Location (x,y) = (  11,  56) in Environment -   DerivENV | High-Level-State 0
| Agent   17 | Location (x,y) = ( 226,  30) in Environment -   DerivENV | High-Level-State 0
| Agent   16 | Location (x,y) = (  66,  69) in Environment -   DerivENV | High-Level-State 0
| Agent   15 | Location (x,y) = ( 296,   3) in Environment -   DerivENV | High-Level-State 1
| Agent   14 | Location (x,y) = ( 153,  14) in Environment -   DerivENV | High-Level-State 0
| Agent   13 | Location (x,y) = (  25,  10) in Environment -   DerivENV | High-Level-State 0
| Agent   12 | Location (x,y) = ( 385,   9) in Environment -   DerivENV | High-Level-State 0
| Agent   11 | Location (x,y) = ( 363,  43) in Environment -   DerivENV | High-Level-State 0
| Agent   10 | Location (x,y) = (  98,  71) in Environment -   DerivENV | High-Level-State 0
| Agent    9 | Location (x,y) = ( 350,   0) in Environment -   DerivENV | High-Level-State 0
| Agent    8 | Location (x,y) = ( 182,  62) in Environment -   DerivENV | High-Level-State 0
| Agent    7 | Location (x,y) = ( 192,  43) in Environment -   DerivENV | High-Level-State 0
| Agent    6 | Location (x,y) = (  25,  25) in Environment -   DerivENV | High-Level-State 0
| Agent    5 | Location (x,y) = ( 273,  69) in Environment -   DerivENV | High-Level-State 0
| Agent    4 | Location (x,y) = (  81,  79) in Environment -   DerivENV | High-Level-State 0
| Agent    3 | Location (x,y) = ( 167,  89) in Environment -   DerivENV | High-Level-State 0
| Agent    2 | Location (x,y) = ( 306,  47) in Environment -   DerivENV | High-Level-State 0
| Agent    1 | Location (x,y) = ( 170,  38) in Environment -   DerivENV | High-Level-State 0
| Agent    0 | Location (x,y) = ( 385,  76) in Environment -   DerivENV | High-Level-State 0
	Tally: { S = 93 , I = 57 , R = 0 | Time 6

| Agent  149 | Location (x,y) = ( 315,  68) in Environment -   DerivENV | High-Level-State 1
| Agent  148 | Location (x,y) = ( 383,  90) in Environment -   DerivENV | High-Level-State 1
| Agent  147 | Location (x,y) = ( 314,  90) in Environment -   DerivENV | High-Level-State 1
| Agent  146 | Location (x,y) = ( 178,  77) in Environment -   DerivENV | High-Level-State 1
